ID,Colore,Categoria,Domanda,A,B,C,Corretta,Battuta
#V051,verde,ERBE SPONTANEE,Chi cresce nei boschi e sa di aglio ma non è tossico?,"Mughetto, velenoso da paura","Cipollotto selvatico, cugino minore",Aglio orsino\!,C,"BUCHETTO WILD: ""I ristoranti stellati lo usano per piatti da urlo\! Il tuo culetto dice: chef kiss\!"
#V052,verde,ERBE SPONTANEE,Quale pianta amara è storica per il detox del fegato?,"Cardo mariano, il guardiano del fegato","Cicoria selvatica, parente amara",Tarassaco\!,C,"BUCHETTO DETOX: ""Cresce tra le crepe dell’asfalto e ti pulisce meglio di un idraulico\! Respect\!"
#V053,verde,ERBE SPONTANEE,Quale erba è fresca in bocca ma tosta per la digestione?,"Origano, ammazza batteri","Finocchietto, amico dei neonati",Menta\!,C,"BUCHETTO BREEZE: ""Un Mojito senza rum ma con effetto digestivo\! Il culetto ringrazia fresco fresco\!"
#V054,verde,ERBE SPONTANEE,Quale erba mediterranea è davvero antinfiammatoria?,"Coriandolo, più spezia che cura","Prezzemolo, più diuretico che calmante",Basilico\!,C,"BUCHETTO ITALIANO: ""Il basilico è più che pesto: calma l’infiammazione e fa cantare il culetto\!"
#V055,verde,FRUTTA,Perché l’albicocca è tipo il botox naturale?,Perché contiene collagene vegetale,Ha più calcio del latte,È piena di vitamina A e antiossidanti\!,C,"BUCHETTO BEAUTY: ""L’albicocca è la crema viso che puoi mangiare\! Il tuo culetto ringiovanisce da dentro\!"
#V056,verde,FRUTTA,Perché la banana è lo snack ufficiale dei gorilla?,È ricca di potassio che regola i muscoli,Ha caffeina nascosta,È la frutta con più proteine,A,"BUCHETTO JUNGLE: ""Gorilla \= 200 kg di muscoli con le banane\! Tu puoi almeno sollevare la busta della spesa senza collassare\!"
#V057,verde,FRUTTA,Il fico è davvero fico perché…?,È pieno di vitamina B12,Contiene omega-6 in abbondanza,Abbassa colesterolo e glicemia,C,"BUCHETTO NONNO: ""Il fico è il farmaco dolce della nonna\! Dolce fuori, killer del colesterolo dentro\!"
#V058,verde,FRUTTA,L’ananas è il vero re della digestione perché…?,Ha caffeina naturale,È ricco di vitamina B12,"Contiene bromelina, enzima spacca-proteine\!",C,"BUCHETTO TROPICALE: ""Con l’ananas digerisci pure il suocero a cena\! Il culetto si fa vacanza alle Hawaii\!"
#V059,verde,FRUTTA,Perché il mirtillo è il supereroe blu della frutta?,Ha più ferro della carne,Contiene vitamina B12,È ricco di antociani antiossidanti,C,"BUCHETTO MARVEL: ""Il mirtillo è il Captain America dei frutti\! Blu fuori, superpotere anti-aging dentro\!"
#V060,verde,ORTAGGI & VERDURE,Cosa succede se non mangi il broccolo spacciatore zen?,Ti pulisce meno l’intestino,Ti aumenta il colesterolo buono,Ti perdi vitamina D,A,"BUCHETTO NAMASTÉ: ""Broccolo \= detox zen\! Se lo salti, il tuo culetto medita ma non scarica\!"
#V061,verde,ORTAGGI & VERDURE,Perché il broccolo ti riconnette con la natura?,Contiene collagene verde,Produce serotonina vegetale,Ha sulforafano che disintossica,C,"BUCHETTO ZEN: ""Sulforafano è come incenso per il fegato\! Il tuo culetto si purifica come in un tempio tibetano\!"
#V062,verde,ORTAGGI & VERDURE,Il pomodoro italiano DOC in realtà…?,È nato in Sicilia,Viene dal Medio Oriente,Arriva dal Sud America\!,C,"BUCHETTO PLOT TWIST: ""Altro che spaghetti al pomodoro medievali\! Senza Colombo eri a pane e cipolle\!"
#V063,verde,ORTAGGI & VERDURE,Perché la carota è chiamata 'energetica'?,Contiene betacarotene che diventa vitamina A,Ha più potassio della banana,È la verdura con più proteine,A,"BUCHETTO OCCHIOLINO: ""Carota \= night vision\! Con lei vedi al buio, pure quando cerchi il bagno\!"
#V064,verde,ORTAGGI & VERDURE,Qual è il superpotere del Cetriolo?,Contiene serotonina naturale,È ricco di ferro come gli spinaci,Idratazione e freschezza,C,"BUCHETTO STREET: ""il Cetriolo entra e dice: stay fresh\! Altro che Red Bull, questo ti idrata come un boss\!"
#V065,verde,ORTAGGI & VERDURE,Gli spinaci diventano una bomba di ferro solo se…?,Li mangi crudi a stomaco vuoto,Li cucini in microonde,Li abbini alla vitamina C\!,C,"BUCHETTO POPEYE: ""Spinaci \+ limone \= Popeye mode\! Il culetto diventa Hulk senza uccidere nessuno\!"
#V066,verde,ORTAGGI & VERDURE,Il pomodoro fa bene al cuore grazie a…?,"Licopene, super antiossidante",Collagene vegetale,Vitamina D3,A,"BUCHETTO CUPIDO: ""Licopene è tipo Cupido: ti protegge il cuore\! Il culetto applaude\!"
#V067,verde,ORTAGGI & VERDURE,Perché dovresti mangiare il cavolfiore?,È ricco di fibre che aiutano la digestione,Ha più zuccheri del melone,Contiene caffeina naturale,A,"BUCHETTO CLOUD: ""Soffice e bianco, vola nel piatto e ti regala cacca leggera come una nuvola\!"
#V068,verde,ORTAGGI & VERDURE,Melanz-Anna è la baddie dell’orto perché…?,Ha vitamina B12,È l’ortaggio con più ferro,È piena di antociani viola,C,"BUCHETTO QUEEN: ""Melanz-Anna ha più stile di una trapper\! Il viola che ti salva le cellule e il culetto applaude\!"
#V074,verde,ORTAGGI & VERDURE,Perché l’aglio è chiamato antibiotico naturale?,Perché contiene allicina con proprietà antibatteriche,Perché ha più vitamina C dell’arancia,Perché è cugino segreto della cipolla,A,"BUCHETTO VAMPIRO: ""Altro che pillole\! Con l’aglio scacci i batteri… e pure Dracula\!"
#V075,verde,ORTAGGI & VERDURE,Il peperone ha più vitamina C di…?,Banana,Arancia,Mela,B,"BUCHETTO SPICY: ""Arancia chi? Il peperone ti fa più scudo immunitario di mille spremute\!"
#V076,verde,ORTAGGI & VERDURE,Perché il cavolo nero è il superfood nascosto dell’orto?,È ricco di calcio e vitamina K,Contiene caffeina naturale,Ha più zuccheri del melone,A,"BUCHETTO TOSCANO: ""Lo chiamano kale in America e lo pagano oro\! In Italia ce l’hai sotto casa e fa il culetto d’acciaio\!"
#V077,verde,ORTAGGI & VERDURE,Perché la pera è l’amica invisibile dell’intestino?,Ha tante fibre solubili,È piena di vitamina D,Contiene enzimi che aiutano la digestione,A,"BUCHETTO GHOST: ""La pera non fa rumore ma ti regala la cacca perfetta. Fantasma amico del culetto\!"
#V078,verde,ORTAGGI & VERDURE,Perché la prugna secca è la nonna delle feci felici?,È ricca di sorbitolo che stimola l’intestino,Contiene collagene,Ha vitamina K che previene la diarrea,A,"BUCHETTO NONNINA: ""La prugna secca è come la nonna: dolce, un po’ rugosa, ma ti sistema il culetto\!"
#V079,verde,ORTAGGI & VERDURE,Perché il mandarino calma i nervi?,Contiene oli essenziali rilassanti,Ha caffeina nascosta,È la frutta con più proteine,A,"BUCHETTO ZEN: ""Altro che camomilla\! Con il mandarino ti rilassi e il culetto sorride sereno."
#V080,verde,ORTAGGI & VERDURE,Perché l’acqua di cocco è la Gatorade dei tropici?,È ricca di elettroliti come potassio e magnesio,Contiene caffeina tropicale,Ha collagene vegetale,A,"BUCHETTO SURF: ""Il cocco è la borraccia naturale dei tropici\! Idrata il culetto meglio di mille bibite gasate\!"
#V081,verde,ORTAGGI & VERDURE,Perché i fiori blu di borragine finiscono fritti nei piatti gourmet?,Perché sono ricchi di omega-6 e antiossidanti,Perché contengono caffeina naturale,Perché hanno collagene vegetale,A,"BUCHETTO CHEF: ""La borragine è la regina dei prati fritti\! Bella da vedere, buona da mangiare e il culetto applaude\!"
#V082,verde,ORTAGGI & VERDURE,Come fa la portulaca ad avere più omega-3 del salmone?,È una pianta grassa che accumula acidi grassi,Perché è un’alga camuffata,Perché contiene caffeina naturale,A,"BUCHETTO OMEGA: ""Il salmone piange e la portulaca ride\! Omega-3 vegetale e il culetto diventa scivoloso come un pesce\!"
#V083,verde,ORTAGGI & VERDURE,Perché il coriandolo divide il mondo tra chi lo ama e chi lo odia?,Perché contiene aldeidi che ricordano il sapone,Perché è troppo piccante,Perché ha caffeina,A,"BUCHETTO LOVE\&HATE: ""O amore o sapone per piatti\! Il culetto però ringrazia sempre, qualunque team tu sia."
#V084,verde,ORTAGGI & VERDURE,Perché la minestra con l‘alloro è più buona?,Perché le sue foglie contengono oli aromatici intensi,Perché è un super food aromatico,Perché è pieno di zuccheri,A,"BUCHETTO NONNA: ""La foglia di alloro è la nonna che urla dalla cucina: senza di me, la minestra è acqua sporca\!"
#V069,verde,ORTAGGI & VERDURE,Chi tra gli antagonisti imbraccia una chitarra zuccherina?,Nutella Chitarrista,French Burger,Patatina Killer,A,"BUCHETTO ROCK: ""Nutella ti seduce col riff dolce\! Il culetto resiste, ma a fatica\!"
#B001,blu,IL PIANETA NEL PIATTO,Terra Felice: “Quanta acqua serve per fare un hamburger?,"50 litri, come una doccia veloce","200 litri, come un acquario medio","2.500 litri, come 30 vasche da bagno",C,"BUCHETTO: “Quando mangi un hamburger, pensa che potevi farti il bagno per un mese\!"
#B002,blu,IL PIANETA NEL PIATTO,Buchetto: “Il tuo arrosto inquina più della tua Panda?,"No, la Panda è più inquinante","Sì, una bistecca produce più CO₂ di 20 km in auto",Inquina uguale,B,BUCHETTO: “Il roast beef è la vera marmitta catalitica del pianeta\!
#B003,blu,IL PIANETA NEL PIATTO,Re Fagiolino: “I legumi sono la proteina più green?,"No, il pollo lo è di più","Sì, perché usano poca acqua e poca terra",Solo se sono bio,B,BUCHETTO: “Le tue scorregge fanno rumore… ma non bucano l’ozono\!
#B004,blu,IL PIANETA NEL PIATTO,Fragola Spacciatore: “Quanto pesticida finisce nel pianeta?,1 goccia ogni tanto,1 miliardo di litri l’anno,"Nessuno, sono solo leggende",B,BUCHETTO: “Le fragole si fanno belle col trucco tossico\! E il pianeta tossisce insieme a loro.
#B005,blu,IL PIANETA NEL PIATTO,Ananas King: “Il turismo del cibo tropicale è sostenibile?,"Sì, è sempre green","No, perché viaggia per migliaia di km",Dipende dal supermercato,B,BUCHETTO: “Ogni ananas è una vacanza… ma al pianeta costa un volo intercontinentale\!
#B006,blu,IL PIANETA NEL PIATTO,Son Gino: “Vale la pena comprare insalata che viaggia 2000 km?,"Sì, ha più vitamine","No, perde nutrienti ed energia","Sì, se è in busta trasparente",B,BUCHETTO: “Son Gino viaggia più di te… ma torna stanco e senza vitamine\!
#B007,blu,IL PIANETA NEL PIATTO,Melanz-Anna: “Posso essere diva e sostenibile insieme?,"Sì, soprattutto se di stagione",Solo se fritta,"No, perché sono troppo glam",A,BUCHETTO: “Melanz-Anna non ha bisogno di jet privati: basta l’orto di casa\!
#B008,blu,IL PIANETA NEL PIATTO,Bro il Broccolo: “Quanti alberi salvi se mangi me al posto della carne?,1 albero l’anno,10 alberi l’anno,Fino a 30 alberi l’anno,C,"BUCHETTO: “Bro salva più foreste di Greenpeace, un piatto alla volta\!"
#B009,blu,IL PIANETA NEL PIATTO,Terra Felice: “Le alghe possono salvare gli oceani?,"Sì, assorbono CO₂ e purificano","No, sono solo moda",Solo se diventano sushi,A,BUCHETTO: “L’alga è la spugna green: pulisce il mare e pure il tuo culetto\!
#B010,blu,IL PIANETA NEL PIATTO,Pizza Congelata Zombie: “Il junk food pesa più sulla bilancia o sul pianeta?,Sulla bilancia,Sul pianeta,Tutti e due uguale,B,BUCHETTO: “La pizza zombie resuscita nel microonde… e uccide il pianeta\!
#B011,blu,IL PIANETA NEL PIATTO,Patatina Killer: “La croccantezza può distruggere il clima?,"Sì, perché l’olio di palma devasta le foreste","No, è solo sale e olio",Solo se mangi un pacco al giorno,A,BUCHETTO: “Ogni patatina croccante è un albero che cade in Amazzonia.
#B012,blu,IL PIANETA NEL PIATTO,Hot Dog Cowboy: “Quanto CO₂ c’è in una salsiccia?,"0, è tutta proteina","3 kg di CO₂, come un viaggio in taxi",Dipende dal panino,B,BUCHETTO: “Il cowboy fa rodeo col pianeta: ogni hot dog è un lazo di CO₂\!
#B013,blu,IL PIANETA NEL PIATTO,Bibita Frizzona: “Le bollicine fanno più male al pianeta o a te?,A te,Al pianeta (zucchero \+ plastica),Nessuno dei due,B,"BUCHETTO: “Le bolle salgono, ma il pianeta scende di livello\!"
#B014,blu,IL PIANETA NEL PIATTO,Uva Ubriaca: “Il vino è cultura… ma quanta acqua consuma?,5 litri per bicchiere,50 litri per bicchiere,"Nessuna, è tutta pioggia",B,BUCHETTO: “Brindi con l’acqua del pianeta… e il pianeta resta a secco\!
#B015,blu,IL PIANETA NEL PIATTO,Cicoria Cico: “Mangiare locale cambia davvero il pianeta?,"Sì, riduce trasporti e inquinamento","No, conta solo il packaging","No, è solo marketing",A,BUCHETTO: “La cicoria non vola Ryanair: cresce sotto casa e salva il pianeta\!
#B016,blu,IL PIANETA NEL PIATTO,Kiwi Colon King: “Anche i frutti esotici hanno un prezzo climatico?,"No, sono sempre sostenibili","Sì, per trasporto e coltivazione",Solo se li mangi fuori stagione,B,BUCHETTO: “Ogni kiwi è un biglietto aereo nascosto per il pianeta\!
#B017,blu,IL PIANETA NEL PIATTO,Terra Felice: “Quanto brucia l’Amazzonia per un barbecue?,Pochissimo,Troppo: milioni di ettari,"Zero, è una fake news",B,BUCHETTO: “Ogni grigliata è un falò… in Amazzonia\!
#B018,blu,IL PIANETA NEL PIATTO,Noce Cervellona: “Meglio proteine vegetali o animali per la testa del pianeta?,"Animali, sono più complete","Vegetali, meno CO₂ e più nutrienti",Uguali,B,BUCHETTO: “Con la noce il cervello è felice… e il pianeta pure\!
#B019,blu,IL PIANETA NEL PIATTO,Cavolo Nero Samurai: “Il futuro è verde scuro come me?,"No, è sempre più carne","Sì, perché sono un superfood resistente",Solo se divento moda,B,BUCHETTO: “Il cavolo nero combatte come un samurai: spada alla CO₂\!
#B020,blu,IL PIANETA NEL PIATTO,Buchetto: “La dieta vegana può salvare il mondo?,"No, è solo una moda","Sì, riduce emissioni e consumo di acqua",Dipende dalle ricette,B,BUCHETTO: “Il culetto vegano è più leggero… e anche il pianeta respira meglio\!
#N114,viola,ANATOMIA A TAVOLA,Come divento la nuvola bianca della digestione?,Perché ho fibre che aiutano l’intestino,Perché riempio lo stomaco senza pesare,Perché sono leggero come l’aria,A,"CAVOLFIORE CLOUD: “Io sono soft ma strong: leggero come una nuvola, duro con la digestione\!"
#N115,viola,ANATOMIA A TAVOLA,Perché pulisco meglio di uno sturalavandini?,Perché ho pochissime calorie e tanta fibra,Perché sono molto diuretico,Perché non ho quasi grassi né zuccheri,A,FIORE DI ZUCCA: “Sono il WC-Net vegetale: ti ripulisco senza candeggina\!
#N116,viola,ANATOMIA A TAVOLA,Il resveratrolo mi rende amica del cuore?,"Sì, perché è un antiossidante che protegge le arterie",Perché abbasso la pressione,Perché rilasso il sangue come un bicchiere di vino,A,UVA UBRIACA: “Brinda pure: io ti faccio bene al cuore… se non esageri col bicchiere\!
#N117,viola,ANATOMIA A TAVOLA,Perché mi chiamano cibo per il cervello?,Perché contengo omega-3,Perché stimolo la memoria,Perché sembro un cervello in miniatura,A,"NOCE CERVELLONA: “Guarda la mia forma: sono un cervello in miniatura, ma con più crunch\!"
#N118,viola,ANATOMIA A TAVOLA,Come divento l’oro del fegato?,Perché ho curcumina antinfiammatoria,Perché pulisco i vasi sanguigni,Perché rendo la pelle più luminosa,A,CURCUMA GOLD: “Sono la spezia dorata che ti lucida dentro come un gioiello.
#N119,viola,ANATOMIA A TAVOLA,Perché scaldo la circolazione come un termosifone?,Perché stimolo il flusso sanguigno,Perché aumento la temperatura corporea,Perché faccio vasodilatarti come dopo una corsa,A,ZENZERO ROCKET: “Pronto al decollo: ti scaldo dal naso ai piedi\!
#A101,arancione,CULTURA DEL CIBO,Il pomodoro è nato in Italia o in America?,In Medio Oriente,In Sud America,In Sicilia con gli spaghetti,B,"BUCHETTO STORYTELLER: “Altro che nonna italiana\! Senza Colombo, niente sugo… solo pane e cipolle."
#A102,arancione,CULTURA DEL CIBO,Come sono diventata la più tossica del supermercato?,Perché sono geneticamente modificate,Perché vengo spruzzata con più pesticidi di tutti,Perché ho caffeina nascosta,B,FRAGOLA SPACCIATORE: “Sono rossa e sexy… ma piena di trucco tossico\!
#A103,arancione,CULTURA DEL CIBO,Perché sono il re della digestione hawaiana?,"Perché contengo bromelina, enzima che spezza le proteine",Perché sono pieno di collagene,Perché ho zuccheri che ti danno energia rapida,A,ANANAS KING: “Ti digerisco pure il suocero a cena\!
#A104,arancione,CULTURA DEL CIBO,Come le mie scorregge sono diventate leggenda musicale?,Perché contengo molte fibre,Perché ho caffeina segreta,Perché ho gas alieni dentro,A,"RE FAGIOLINO: “Sinfonia di peti in DO maggiore, un concerto per il pianeta e per il tuo culetto\!"
#A105,arancione,CULTURA DEL CIBO,Perché l’insalata da supermercato è il simbolo dell’agricoltura intensiva?,Perché è geneticamente uguale al lattughino,Perché cresce in Alaska,Perché è fatta di plastica,A,SON GINO: “Sono piccolo ma spruzzato come un campo da calcio intero\!
#A106,arancione,CULTURA DEL CIBO,Quando il mio viola è diventato glamour anche su Instagram?,Negli anni ’80,Con le ricette healthy virali,Con i cartoni animati giapponesi,B,"MELANZ-ANNA: “Sono la baddie dell’orto, trending topic anche senza filtri\!"
#A107,arancione,CULTURA DEL CIBO,Perché l’amaro è da sempre medicina popolare?,Perché stimola fegato e digestione,Perché è un gusto di moda,Perché fa dimagrire di colpo,A,CICORIA CICO: “Io ti dico la verità amara… e il fegato ringrazia\!
#A108,arancione,CULTURA DEL CIBO,Perché lo zucchero era chiamato oro bianco?,Perché valeva quanto l’oro nelle rotte coloniali,Perché brillava di notte,Perché faceva ricchi i dentisti,A,"TERRA FELICE: “Il vero oro non era nei gioielli, ma nelle piantagioni."
#A109,arancione,CULTURA DEL CIBO,Da quanto tempo mi usano come cibo per il cervello?,Dall’antica Grecia,Dagli anni ’70 con la dieta vegetariana,Solo con le mode moderne,A,"NOCE CERVELLONA: “Ho la forma giusta da millenni, mica da ieri\!"
#A110,arancione,CULTURA DEL CIBO,Come sono diventato simbolo delle vacanze in Italia?,Perché sono arrivato dalla Nuova Zelanda negli anni ’70,Perché sono nato a Capri,Perché ero la frutta preferita di Garibaldi,A,KIWI COLON KING: “Da outsider a VIP delle tavole: colon felice e passaporto italiano\!
#A111,arancione,CULTURA DEL CIBO,Perché il vino è rito più che cibo?,Perché accompagna cerimonie e tradizioni,Perché ha caffeina nascosta,Perché rende immortali,A,"UVA UBRIACA: “Non è solo bere, è brindare: cultura liquida che scalda il cuore\!"
#A112,arancione,CULTURA DEL CIBO,Perché mi chiamano la regina della salute?,Perché una mela al giorno leva il medico di torno,Perché contengo caffeina,Perché nascondo vitamina D,A,"MELA MAESTRA: “Semplice, rotonda, quotidiana: io sono la lezione base di salute\!"
#A113,arancione,CULTURA DEL CIBO,Perché la vitamina C è entrata nella cultura pop?,Perché previene lo scorbuto,Perché ti fa ballare tutta la notte,Perché illumina la pelle,A,"ARANCIA RAVE: “Senza di me, i marinai cadevano come mosche. Io sono la vera star dei viaggi\!"
#A114,arancione,CULTURA DEL CIBO,Come ho salvato l’Europa dalla carestia?,Perché sono facile da coltivare e nutriente,Perché contengo caffeina,Perché sono magiche contro i virus,A,"PATATA SOVVERSIVA: “Ero il cibo dei poveri, ma ho rivoluzionato il continente\!"
#A115,arancione,CULTURA DEL CIBO,Perché gli Aztechi mi veneravano come un dio?,Perché ero la base della loro alimentazione,Perché brillavo al sole,Perché facevo crescere l’oro,A,"MAIS SACRO: “Non ero solo cibo: ero vita, religione e cultura in pannocchia."
#A116,arancione,CULTURA DEL CIBO,Perché sono più rito che bevanda?,Perché scandisco le giornate italiane,Perché ho caffeina segreta,Perché costavo quanto l’oro,A,"CAFFÈ ESPRESSO: “Non è un drink, è un abbraccio di due minuti al bar\!"
#A117,arancione,CULTURA DEL CIBO,Come sono diventata il fast food delle case tristi?,Perché sono economica e pronta in 5 minuti,Perché ho caffeina,Perché sono nata nei ristoranti stellati,A,"PIZZA ZOMBIE: “Sono morta dentro, ma resuscito al microonde\!"
#A118,arancione,CULTURA DEL CIBO,Perché la cola è diventata simbolo globale?,Perché è stata usata come icona culturale e pubblicitaria,Perché è nata in Italia,Perché conteneva vitamine segrete,A,BIBITA FRIZZONA: “Non sono solo bollicine: sono l’America in lattina\!
#A119,arancione,CULTURA DEL CIBO,Perché il curry è sia indiano che britannico?,Perché è nato dall’incontro tra colonie e Inghilterra,Perché lo hanno inventato i francesi,Perché è una spezia magica,A,CURRY NOMADE: “Sono il figlio meticcio della colonizzazione: speziato e viaggiatore\!
#A120,arancione,CULTURA DEL CIBO,È nato in Italia o in Cina?,"In Cina, con le prime ricette di ghiaccio e latte","In Francia, coi pasticceri reali",In Sicilia con le granite,A,GELATO MISTERIOSO: “Io sono il mistero freddo più dolce: faccio il giro del mondo da secoli\!
#V001,verde,CIBI FURBI & CIBI TRAPPOLA,Le proteine vegetali hanno tutti gli aminoacidi o sono monche?,Sono più monche di un manichino senza braccia,"Ce li hanno tutti ma in proporzioni diverse, come i Pokémon\!",Funzionano solo se le mixi con la bistecca,B,"BUCHETTO SPUTA FATTI:** ""I gorilla sono vegani e pesano 200 kg di muscoli puri\! Mentre voi vi preoccupate delle proteine, loro si fanno i bicipiti coi banani\! No cap\!"
#V002,verde,CIBI FURBI & CIBI TRAPPOLA,Il latte ti rafforza le ossa. Oltre a tua nonna lo dice anche la scienza?,Ossa d'acciaio garantite al 100%,"No, lo dice solo mia nonna","Solo se è latte intero, quello scremato è acqua sporca",B,"BUCHETTO SGANASCIA:** ""CAPPERI\! Le mucche non bevono latte dopo lo svezzamento e hanno ossa da paura\! Coincidenze? Io non credo\! Il tuo culetto ringrazia quando eviti i latticini\!"
#V003,verde,CIBI FURBI & CIBI TRAPPOLA,"Per fare 1 kg di bistecca, quanti kg di cereali si bruciano?","2-3 kg, giusto un antipastino","6-10 kg, praticamente un silos intero\!","Zero, le mucche sono respiretariane",B,"BUCHETTO IMPLORA PIETÀ:** ""È come bruciare 6 pizze napoletane per fare una fettina di salame\! Logica da alieno\! Io qui nel culetto piango lacrime amare\!"
#V004,verde,CIBI FURBI & CIBI TRAPPOLA,Ma quindi il ferro della bistecca è più forte di quello degli spinaci?,"Sì, ma gli spinaci con vitamina C diventano una bomba assurda\!","No, sono identici, stessa roba",Gli spinaci vincono sempre e comunque,A,
#V005,verde,CIBI FURBI & CIBI TRAPPOLA,I vegetariani sono più magri o è una leggenda metropolitana?,Confermato dalla scienza: sono tendenzialmente più magri\!,"Pesano uguale, è tutto marketing",Sono più ciccioni perché mangiano solo patatine,A,"BUCHETTO CELEBRA:** ""La fibra è il buttafuori del tuo intestino\! Fa uscire tutti i cattivi e io faccio party ogni giorno\! Chi non mangia verdura fa la cacca dura dura\!"
#V006,verde,CIBI FURBI & CIBI TRAPPOLA,Senza uova muori di fame proteica o è una Bufala?,"Muori male, le uova sono vita",Fake news\! Tofu e fagioli ti salvano il culetto\!,Solo se fai palestra devi mettere su massa.,B,"RE FAGIOLINO REGNA:** ""E il tofu non ti fa scoreggiare zolfo come le uova\! Le mie scoregge sono profumate e salutari\! Chi scoreggia, regna\!"
#V007,verde,CIBI FURBI & CIBI TRAPPOLA,Gli omega-3 stanno solo nei pesci?,"Solo pesci, punto e basta",Fake news\! Semi di lino e noci ne sono pieni\!,Solo negli integratori da 50 euro,B,"IL TONNO PIANGE:** ""Sono così pieno di mercurio che potrei essere usato come termometro\! Meglio i semi, amici, senza microplastiche\!"
#V008,verde,CIBI FURBI & CIBI TRAPPOLA,La B12 viene dalla carne o c'è un plot twist?,È esclusiva della carne,"PLOT TWIST: la fanno i batteri, non le mucche\!",Solo nel latte delle mucche felici,B,"BUCHETTO SVELA:** ""Gli animali la prendono dagli integratori\! Skip the middleman, amici\! Praticamente mangi B12 di seconda mano\!"
#V009,verde,CIBI FURBI & CIBI TRAPPOLA,I carboidrati ti fanno esplodere come un palloncino?,"Sempre, sono il male assoluto","Quelli bianchi sì (cemento), quelli integrali no (oro)\!","Mai, puoi mangiarne a tonnellate",B,"BUCHETTO APPROVA:** ""Pane bianco \= cemento per il tuo culetto\! Pane integrale \= slip'n'slide per la cacca perfetta\! CAPPERI che differenza\!"
#V010,verde,CIBI FURBI & CIBI TRAPPOLA,Il glutine è il Voldemort del cibo per tutti?,"Sì, ci ucciderà tutti","No fra, solo l'1% deve temerlo (i celiaci)\!",Solo se hai il sangue gruppo 0,B,"BUCHETTO FACTS:** ""È una fake news spaziale, fratè\! Il glutine è il nemico solo dell'1%\! Il resto è moda da influencer\!"
